alpha,CGLMP,Entanglement,NoiseDual,Incomp_NC,Neg_primal,Neg_dual,vn_entropy,ent_entropy
0.0,2.332680817989796,0.9018384124616555,0.6372405688996234,24.24871130596427,2.9396313865038235,2.9394917784497436,7.276997016210103e-8,1.9117680846742826
0.010101010101010102,2.333725801126679,0.9020671415942295,0.6372236699141283,24.245701308444122,2.9391548558183507,2.9390030431894947,9.298038188677033e-8,1.9114897327251892
0.020202020202020204,2.334499322685181,0.9025797469886985,0.6371813555956611,24.236680632389067,2.9375581165151785,2.937405433123245,1.3356253287142041e-7,1.910581264147175
0.030303030303030304,2.3350259869740544,0.903339357477699,0.6371070145198612,24.221677447500827,2.93476441870099,2.934609793438655,9.399667518033292e-8,1.909004565377333
0.04040404040404041,2.335335230772229,0.9042993746542289,0.6369850100895351,24.200739435808227,2.9306900573083006,2.9305333126103466,1.111128139329973e-7,1.9067186529991964
0.050505050505050504,2.3354602925795223,0.9054039505917262,0.6367460486620828,24.17393488474133,2.9252549400244403,2.925095147912267,7.260433925230249e-8,1.9036858436820987
0.06060606060606061,2.3354372251850717,0.9066269444769024,0.6364602663122855,24.141354203097542,2.9183936664137726,2.9182316522979677,8.946946572143727e-8,1.8998780693077362
0.0707070707070707,2.3353035811486915,0.9079211809989656,0.6361703208759892,24.103111837749083,2.910065965798637,2.909902056056765,8.214031538924803e-8,1.8952826606572264
0.08080808080808081,2.3350973217820146,0.9092495158522941,0.6358058602762244,24.059348549014864,2.900096127756308,2.9000906489233182,8.058473630164938e-8,1.8899069057863587
0.09090909090909091,2.3348555528023627,0.9105917589481479,0.6354390029320128,24.010233969036857,2.888852241879725,2.8888004036391783,7.027980548652847e-8,1.883780801838835
0.10101010101010101,2.33461351162221,0.911936110827921,0.6350972937747278,23.955969315742028,2.8762437261426066,2.8761959351519573,7.799358637932402e-8,1.8769576573023818
0.1111111111111111,2.3344037333482266,0.9132573940464499,0.6346681183110403,23.896790064830146,2.8623862406219183,2.8623454965727326,9.677834114315034e-8,1.8695125247936561
0.12121212121212122,2.334255350770469,0.9145272658616203,0.6342513279244999,23.83296830688657,2.8474312697189985,2.847412703401616,8.341723759663039e-8,1.8615387902917147
0.13131313131313133,2.3341938762368004,0.915744848602821,0.6338427101744086,23.76481448007812,2.8315589230051956,2.831597664621703,8.003076419339892e-8,1.8531435266392087
0.1414141414141414,2.3342409417255943,0.9169167511159374,0.6334398904237121,23.69267827357227,2.814969837785076,2.8150582966896356,1.2491973249498304e-7,1.8444423705251538
0.15151515151515152,2.33441450080193,0.9180037366552274,0.6330467177478187,23.61694893977704,2.7978773167534268,2.7980060441460926,7.301249898280612e-8,1.8355546888972225
0.16161616161616163,2.334729200093966,0.9190223378483523,0.6326225047639076,23.538056353115877,2.780500785486556,2.780649013823289,8.825686004803498e-8,1.8265996423134632
0.1717171717171717,2.3351967087211567,0.9199641136735132,0.6322700511530663,23.456476329369487,2.7630614184805515,2.763167156833681,8.060291737958949e-8,1.8176935122031128
0.18181818181818182,2.335826313084119,0.9208278051366754,0.6319351588079021,23.372747342527656,2.745780147670375,2.7457323688843873,1.1318405662974611e-7,1.8089483510134414
0.1919191919191919,2.336625344806949,0.9216164868676938,0.631617409457268,23.287510576514595,2.7288776569060382,2.7289044866697063,6.808643198130789e-8,1.8004717404063129
