alpha,CGLMP,Entanglement,NoiseDual
0.0,2.60165758573333,0.7840728403977621,0.6830436905790737
0.010101010101010102,2.6049673430918654,0.7838694298293436,0.6830498775386195
0.020202020202020204,2.608027026427483,0.7837522505236072,0.6830434736155415
0.030303030303030304,2.610995024199138,0.7836396685864913,0.6830690793258234
0.04040404040404041,2.61359303443639,0.7836566731562731,0.6830022872193648
0.050505050505050504,2.6159749117478444,0.7834240038331957,0.6830129602747254
0.06060606060606061,2.6181245351433975,0.7831837102430764,0.6830211064784755
0.0707070707070707,2.6200465806869495,0.7829691210946794,0.6830757722324978
0.08080808080808081,2.62174368326365,0.782762059299423,0.6831041519720871
0.09090909090909091,2.623244627641503,0.7826011430033822,0.6830100314922751
0.10101010101010101,2.624539583494414,0.7824683496152649,0.6830482791050629
0.1111111111111111,2.6256187562148323,0.7823447268251718,0.683039502382407
0.12121212121212122,2.626480759068905,0.7822087253904229,0.6830151670060669
0.13131313131313133,2.627095446726598,0.782051435850454,0.6832454475286582
0.1414141414141414,2.627453131963557,0.7818569291316214,0.6831276218719949
0.15151515151515152,2.627559420483073,0.781634872748468,0.6831723431994112
0.16161616161616163,2.6274202581777835,0.7813754653055154,0.6832155383508773
0.1717171717171717,2.6270747715269853,0.7811481797929983,0.6832447162806625
0.18181818181818182,2.626538234786585,0.7809416921040891,0.6833728780298007
0.1919191919191919,2.6258239245364763,0.7807519210308528,0.6834257545372011
0.20202020202020202,2.624926849530304,0.7805648856411915,0.6835369849905524
0.21212121212121213,2.6238527560545535,0.7803755218705622,0.6836478132620037
0.2222222222222222,2.622602439408567,0.7801771660135159,0.6837500186673491
0.23232323232323232,2.6211887733277472,0.779972030331827,0.6839530202159674
0.24242424242424243,2.6196275077239997,0.7797647044465075,0.6840080367888808
0.25252525252525254,2.6179307405918495,0.7795544187684313,0.6842298968256586
0.26262626262626265,2.6161209660805436,0.7793471058244643,0.6843996279427886
0.2727272727272727,2.6142167255173416,0.7791460355333772,0.6846176131469535
0.2828282828282828,2.61223509827677,0.7789500335172098,0.6848398099090426
0.29292929292929293,2.6101940878488348,0.7787583601519159,0.6850666563304222
0.30303030303030304,2.6081173643040017,0.7785745891608976,0.6853116782484036
0.31313131313131315,2.6060231824003517,0.7783968072310272,0.685656080286954
